Design,Strut Radius (um) ,Center Mass Radius (µm) ,Corner Mass Radius (um) ,Bandgap 1 Width (MHz),Bandgap 1 Center (MHz),Bandgap 2 Width (MHz),Bandgap 2 Center (MHz),Bandgap 3 Width (MHz),Bandgap 3 Center (MHz)
BC Both,4.88010177934232,17.8030275407651,4.41525234439437,0.0868,2.1213,1.6749,7.12295,,
BC Both,4.08485459563508,15.9749768532448,2.75617845437175,0.1896,1.6175,2.0287,5.88415,,
BC Both,5.1611832686435,17.2131295369061,7.3394375551214,0.0438,2.3609,1.3465,7.45535,,
BC Both,4.38120242287922,10.0748976511559,5.9836396672632,0.1826,2.2433,0.4505,6.61635,,
BC Both,4.51143899977803,17.747678164369,7.72881136344583,0.1366,1.8501,1.9806,6.6151,,
BC Both,5.26713627324576,16.5093745143419,1.23739589084775,0.0331,2.48495,1.1603,7.56805,,
BC Both,4.76333424722318,11.5958684033624,4.30764510718452,0.1665,2.44175,1.0879,6.82255,,
BC Both,5.47869016836192,11.9241156215762,3.71003800537658,0.9642,8.0967,,,,
BC Both,4.10837382738736,18.3726275851742,2.88278564887896,0.1437,1.54425,0.2957,3.71785,2.4877,6.15785
BC Both,5.75331830003701,18.9260692267975,2.48286301881957,1.181,8.5235,,,,
BC Both,4.6948980283238,18.7250520923116,6.92999616188334,0.0805,1.94715,0.1678,4.5588,2.0565,6.96235
BC Both,5.01129454998284,18.5938666031026,2.89530985383976,0.021,2.1838,1.7384,7.3888,,
BC Both,4.76690913744842,18.5531299494869,8.21728380822675,0.0771,2.00735,0.1044,4.6783,1.9455,7.04445
BC Both,4.26717534416851,13.3955880856967,7.9984874597572,0.2076,1.8998,1.5377,5.95265,,
BC Both,4.88137767229458,11.5114789013208,9.20829063057591,0.1661,2.25295,1.3051,6.60575,,
BC Both,4.69667791878741,13.9365151217409,9.88875864260476,0.1646,2.2537,1.3009,6.60785,,
BC Both,4.36586904550451,17.7993324093361,9.66096656330558,0.1112,1.8096,0.1213,4.16595,2.136,6.4446
BC Both,4.30451756192708,11.9919034894234,8.6955476077488,0.1993,2.05895,1.214,6.1261,,
BC Both,4.42822136477977,10.723581341603,9.4495376576128,0.1747,2.27825,0.7047,6.55735,,
BC Both,5.43064097999832,9.87257930735034,10.2840750282507,0.7455,8.24035,,,,
BC Both,5.38105227657636,9.62129517900534,10.9785858637152,0.6718,8.2091,,,,
BC Both,5.09207622504663,7.33889968181008,12.8888342021176,0.4287,6.25335,,,,
BC Both,5.48524960247872,19.2076780067321,11.9565282355058,0.1459,5.87265,1.3637,8.25895,,
BC Both,4.64734292566275,19.3953991665128,8.28045032779931,0.0615,1.89215,0.3349,4.46455,2.2809,6.98085
BC Both,5.59255365464821,2.29665674318466,18.6592355497822,1.921,8.2227,,,,
BC Both,4.60871869111916,1.75977168817964,18.610966532323,2.6361,7.56955,,,,
BC Both,5.64551503244254,4.61427004173295,18.6816479666492,1.8878,8.2572,,,,
BC Both,5.89739548819837,3.3129956869943,16.2380147821531,0.942,7.67,0.3751,10.01545,,
BC Both,4.20625160847473,2.56333084852382,18.606364563512,2.9021,7.24435,,,,
BC Both,5.57420557661446,3.15756740092797,18.6811550180272,1.9444,8.217,,,,
BC Both,4.6497375960191,1.6025082555647,13.625854643884,0.6343,6.18495,,,,
BC Both,5.12500319983612,1.90536703139172,17.4059550983471,1.7582,7.632,,,,
BC Both,5.09872037359812,2.15819186987354,19.1418414356969,2.5131,8.04855,,,,
BC Both,5.62649524305282,4.50557021950479,18.8248659145672,1.9546,8.2842,,,,
BC Both,5.6689591847257,2.84136848958774,18.2647107677482,1.7213,8.16005,,,,
BC Both,4.09829297519672,3.32843871394028,19.0220291290542,3.1994,7.2466,,,,
BC Both,5.89848351670464,2.75071350862004,19.4078164122973,1.9427,8.58335,,,,
BC Both,4.3091217309098,2.25819583586654,18.2291280969148,2.6347,7.24685,,,,
BC Both,5.14743412881784,5.33074661109816,18.2301654621796,2.0741,7.85105,,,,
BC Both,4.96748952908332,5.82157059046192,19.5132329426313,2.7689,8.04965,,,,
BC Both,4.39066725517962,5.0159330751255,19.2388951187863,3.1008,7.5569,,,,
BC Both,4.60589717289575,4.90873295061935,19.0716385595746,2.8698,7.6796,,,,
BC Both,4.14229052823568,4.16247800031098,18.359168224363,2.803,7.1324,,,,
BC Both,4.80912412198,6.37444789860103,19.993406950755,3.0658,8.0495,,,,
BC Both,4.33897899470725,5.96857155985598,12.1569243896425,0.361800000000001,5.5184,,,,
BC Both,5.96329368406238,7.04866098510548,18.0747291974757,1.441,8.2487,0.100999999999999,11.1855,,
BC Both,5.51023989834604,6.45866832325682,17.7499928324118,1.6258,7.9342,,,,
BC Both,5.97509357049147,8.27254582674352,15.1705728111825,0.6207,7.41675,0.4445,9.62005,,
BC Both,5.41174272991528,5.47909141382201,14.0709943376747,0.591900000000001,6.66745,,,,
BC Both,5.49154903008978,7.08555878909936,10.9395908314421,0.2919,6.37165,0.0044,8.4698,,
BC Both,5.61300345077998,5.72768756032748,11.9086132674847,0.3453,6.56695,,,,
BC Both,5.50980425578038,7.1413891786718,11.7893611792382,0.3335,6.47655,0.046700000000001,8.57395,,
BC Both,5.72821285600916,1.56423209410337,10.7200259448214,0.297,6.6729,0.047800000000001,8.8162,,
BC Both,4.23272403013339,1.99019886481084,10.0243020802018,0.0577,2.48895,0.0674,4.8476,,
BC Both,5.97657581814174,4.71259197887293,14.7392646873607,0.593999999999999,7.2433,0.256500000000001,9.48375,,
BC Both,5.81189469550947,5.28109522847009,13.6838890524894,0.4853,6.93695,0.1371,9.11685,,
BC Both,5.54894077318167,2.56047785788812,13.5456460942516,0.499,6.6966,,,,
BC Both,5.83244784828965,4.91343774715076,12.1811828375836,0.3476,6.8504,0.135999999999999,9.0155,,
BC Both,4.59063121190539,1.37347197724844,11.7145358943917,0.2871,5.43105,,,,
BC Both,5.60497002554769,4.9685381154405,19.56139963816,2.2512,8.4622,,,,
BC Both,5.002796889472,6.76830025344953,15.2462975416233,1.0557,6.95935,,,,
BC Both,4.20328000758017,19.6794251822774,7.37353099216593,0.1011,1.57655,0.5025,3.81715,2.7195,6.44175
BC Both,5.44456552193479,5.98981824529132,18.8392412719462,2.0978,8.178,,,,
BC Both,4.11521084316176,14.5853471456531,18.3402086609372,1.1437,9.42915,,,,
BC Both,5.92380595846288,8.68268331476269,19.9181831635747,1.7999,8.68085,,,,
BC Both,4.51989492837828,11.4725338453383,18.2792420334628,,,,,,
BC Both,4.6326131602038,10.1481209060758,18.3705702345901,0.757000000000001,7.0171,,,,
BC Both,4.09208888697656,6.77254378959025,19.8613716326748,3.2994,7.3504,,,,
